Brownian;Equiprobable;Custom;Lévis
125.4585415;213.2247752;161.8821179;162.6783217
229.4755245;182.8601399;197.6073926;144.955045
170.8241758;184.4485514;125.3216783;120.1578422
221.1948052;221.6483516;157.6363636;213.8501499
145.9310689;208.1578422;111.5834166;115.4835165
184.7542458;192.7472527;163.042957;126.8261738
327.0819181;131.6243756;216.8601399;111.3846154
249.9480519;244.3186813;200.8411588;161.8151848
157.4995005;163.4345654;296.9020979;118.975025
182.1738262;141.2337662;162.9260739;124.4295704
201.3696304;110.5674326;105.7442557;132.998002
339.00999;193.7382617;145.4745255;153.002997
183.6843157;185.6943057;132.4625375;127.6603397
217.982018;163.1888112;182.4005994;207.7072927
166.7722278;198.984016;99.21078921;144.8281718
318.0699301;156.7972028;132.4625375;161.974026
143.4705295;173.4135864;189.025974;94.17082917
265.6133866;147.2437562;129.4985015;159.0649351
248.5874126;150.8171828;100.1518482;149.4805195
174.8881119;160.8881119;169.01998;140.1788212
212.3626374;143.5254745;180.026973;116.4785215
196.4755245;135.3646354;185.0919081;139.5754246
344.4315684;196.9170829;144.5444555;199.8401598
166.2027972;145.9060939;168.8421578;141.7782218
314.9110889;325.8021978;130.5964036;130.2467532
411.042957;138.3906094;132.0659341;119.5594406
158.4975025;161.2287712;171.1058941;160.7332667
201.1568432;199.3006993;145.2447552;128.965035
196.004995;137.3216783;159.9340659;155.2267732
153.1718282;195.6683317;144.9160839;164.8351648
160.0619381;223.998002;145.2287712;127.6703297
241.7662338;204.026973;166.005994;177.8911089
250.025974;157.2887113;213.4785215;99.47352647
223.1758242;129.2847153;98.38561439;114.7782218
245.1948052;175.8551449;176.4925075;138.6303696
195.8401598;205.4435564;127.8701299;118.4055944
336.2677323;179.8831169;132.0999001;101.6303696
161.6923077;148.7142857;185.2747253;132.024975
290.8721279;161.1768232;179.7162837;147.5224775
270.03996;137.9440559;184.003996;137.8291708
268.9070929;196.6493506;112.955045;123.3856144
233.8361638;224.4005994;161.7052947;102.3746254
294.6003996;180.7742258;157.01998;190.4505495
347.008991;246.5874126;149.3496503;157.7762238
221.2067932;130.3706294;148.5444555;121.951049
220.0829171;115.6203796;135.0979021;99.83916084
203.2727273;165.7282717;130.8931069;116.4225774
224.6713287;169.4915085;158.0679321;150.3026973
278.8091908;160.6893107;112.6083916;143.7192807
165.2257742;167.1658342;125.5654346;132.8611389
159.987013;175.1008991;133.8201798;134.6913087
165.2917083;174.8141858;168.3506494;130.4505495
163.5114885;237.5504496;267.4985015;114.5624376
117.6273726;134.8691309;150.1638362;105.000999
192.0729271;182.5274725;213.9130869;124.1218781
212.4675325;203.8541459;154.6103896;174.6743257
201.3486513;186.8031968;164.042957;122.1408591
195.4145854;160.8131868;110.047952;115.3706294
255.7922078;154.3296703;108.0659341;133.1478521
354.4175824;162.2657343;114.7742258;132.0509491
149.6143856;152.3606394;184.5364635;113.6623377
147.0639361;238.7642358;103.6973027;155.9070929
201.8401598;138.0989011;173.7452547;156.0689311
242.2367632;169.6483516;160.6843157;134.1248751
257.977023;177.03996;143.968032;134.3206793
162.8671329;171.1668332;189.3896104;133.6813187
155.6773227;191.1058941;136.9200799;165.027972
226.7212787;165.0579421;144.1198801;114.5304695
222.4115884;197.3736264;126.3336663;133.4785215
542.1318681;135.6373626;132.1998002;150.9480519
151.6253746;143.3026973;228.9260739;135.1478521
361.2177822;138.9110889;120.1518482;123.9100899
139.3646354;174.6823177;146.7742258;164.8371628
177.5134865;146.4505495;231.002997;122.1678322
192.9390609;198.3296703;143.1438561;133.4395604
197.8001998;215.7582418;112.5024975;139.3366633
182.1378621;149.5164835;112.1048951;105.5204795
186.1178821;131.5904096;143.7302697;120.3146853
165.5104895;188.4585415;152.6913087;133.6583417
354.6963037;209.2567433;156.2267732;146.028971
215.3656344;286.6043956;171.1868132;108.8361638
220.6673327;219.2777223;127.5814186;112.3156843
137.8271728;151.8621379;128.0819181;124.027972
197.2877123;123.0719281;115.8381618;169.038961
326.6383616;251.1308691;171.4065934;150.0779221
172.2837163;127.9400599;136.0639361;147.1198801
198.963037;126.1518482;128.9050949;145.999001
274.1818182;128.6173826;186.018981;180.9300699
361.9220779;208.0599401;153.3646354;152.9190809
176.2577423;158.4245754;162.8501499;163.2507493
341.1708292;166.4895105;144.6703297;120.011988
235.7182817;175.1788212;136.4665335;124.3676324
171.7772228;166.7802198;149.5044955;118.8461538
140.038961;140.3276723;146.8661339;121.8251748
231.5764236;190.6763237;133.0949051;155.6373626
285.954046;156.4475524;142.3706294;184.5314685
211.1638362;181.1768232;189.2197802;135.5574426
178.4995005;171.6103896;146.025974;145.5654346
220.1248751;145.7112887;175.7152847;138.8841159
190.7572428;171.5784216;122.4075924;139.045954
